spacing_bp_bin_center,count
81,0
83,0
85,0
87,0
89,0
91,0
93,0
95,0
97,0
99,0
101,0
103,0
105,0
107,272
109,682
111,749
113,773
115,592
117,512
119,590
121,824
123,816
125,526
127,574
129,771
131,970
133,1021
135,713
137,732
139,1070
141,1454
143,1401
145,949
147,945
149,1677
151,2232
153,1878
155,1232
157,1348
159,2263
161,2865
163,2616
165,1857
167,1435
169,1698
171,2284
173,2076
175,1582
177,1213
179,1216
181,1350
183,1248
185,1032
187,787
189,767
191,791
193,743
195,685
197,515
199,578
201,569
203,506
205,442
207,391
209,356
211,377
213,338
215,334
217,292
219,274
221,275
223,274
225,252
227,235
229,226
231,255
233,216
235,248
237,230
239,195
241,214
243,243
245,185
247,211
249,172
251,185
253,203
255,187
257,170
259,156
261,150
263,143
265,154
267,134
269,118
271,129
273,111
275,118
277,104
279,105
281,90
283,120
285,78
287,91
289,89
291,70
293,75
295,63
297,70
299,67
301,54
303,65
305,55
307,63
309,52
311,53
313,49
315,49
317,42
319,44
321,44
323,44
325,30
327,28
329,27
331,35
333,32
335,26
337,29
339,35
341,29
343,30
345,23
347,19
349,34
351,27
353,23
355,26
357,21
359,15
361,19
363,21
365,13
367,19
369,19
371,16
373,18
375,14
377,17
379,14
381,20
383,14
385,16
387,19
389,8
391,12
393,15
395,17
397,11
399,13
401,17
403,15
405,12
407,8
409,12
411,12
413,5
415,12
417,12
419,8
421,15
423,13
425,11
427,9
429,11
431,7
433,6
435,6
437,15
439,13
441,7
443,12
445,5
447,12
449,8
451,10
453,2
455,8
457,4
459,7
461,6
463,8
465,5
467,6
469,10
471,3
473,6
475,7
477,8
479,5
481,6
483,8
485,5
487,8
489,12
491,4
493,6
495,10
497,8
499,7
501,7
503,8
505,8
507,2
509,3
511,6
513,6
515,5
517,5
519,5
521,7
523,2
525,6
527,8
529,6
531,4
533,6
535,4
537,4
539,7
541,5
543,3
545,5
547,5
549,0
551,3
553,16
555,4
557,4
559,1
561,9
563,2
565,3
567,4
569,0
571,6
573,3
575,3
577,2
579,2
581,3
583,0
585,3
587,2
589,5
591,1
593,1
595,2
597,3
599,4
